species_tax_id	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
1066	-0.5228787452803376	0.17609125905568124	NA	28	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1556	-0.3010299956639812	0.3979400086720376	NA	37	37	7.4	3108248.4	29.533	2819	6	81	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0
1688	NA	NA	NA	37	NA	NA	2513112	NA	NA	NA	NA	1	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
1800	NA	NA	NA	37	NA	NA	6263100.2	68.3	5797	2	46	1	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1810	-0.3010299956639812	0.0	NA	36	37	NA	6214083.75	68.583	5725.667	2	49	1	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1909	NA	NA	NA	28	NA	NA	7518674	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1921	NA	NA	NA	26.5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1938	NA	NA	NA	26.5	26	7.5	9804852.833	71.1	NA	NA	NA	1	1	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
1944	NA	NA	NA	28	NA	NA	3924263.5	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1951	NA	NA	NA	27.5	NA	NA	7457184	71.5	NA	NA	NA	1	1	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
1963	NA	NA	NA	26.5	NA	NA	11669656	69.98	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA
1967	NA	NA	NA	27	NA	NA	4991622.5	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1969	NA	NA	NA	28	26	NA	9233023.2	71.013	7761.667	NA	69	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2065	NA	NA	NA	28	NA	NA	8086655.5	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2133	-1.0	NA	NA	30	NA	NA	1640878.667	25.546	1761	1	32	0	NA	1	NA	0	0	1	NA	NA	NA	0	0	0	0	0	1
2223	-0.09691001300805639	0.3010299956639812	1.8129133566428555	35	37.5	7.25	3026643.75	50.958	2877.333	2	45	0	0	0	NA	0	1	0	NA	NA	NA	1	0	0	0	0	0
13656	NA	NA	NA	28.5	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
28188	NA	NA	NA	34	37	NA	2492306.25	36.202	2177.333	3	44.8	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
29468	NA	NA	1.919078092376074	30	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
29545	-0.3010299956639812	NA	NA	31	NA	NA	5464470	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
33025	-0.3010299956639812	0.3010299956639812	NA	37	NA	NA	2317131	NA	NA	NA	NA	0	0	NA	NA	0	1	0	NA	NA	NA	1	0	0	0	0	0
33074	NA	NA	NA	26	30	NA	2978563	56.057	NA	NA	NA	0	NA	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
33899	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33938	0.09691001300805642	0.9542425094393249	0.3979400086720376	59.167	62.5	6.75	3668040	51.9	3419	10	89	1	1	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
34068	NA	NA	NA	20	20	5.5	2383924	42	NA	NA	NA	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
45243	NA	NA	NA	37	NA	NA	2683020.167	44.2	2239.667	4	49	0	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
47885	-0.09691001300805639	0.3010299956639812	NA	29.5	NA	NA	4975256.375	65.65	4294.667	5	67	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
51101	-0.3010299956639812	0.3010299956639812	NA	33	33.5	5.6	5428896.667	53.54	NA	NA	NA	1	NA	NA	NA	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
52259	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53406	-0.3979400086720376	0.3010299956639812	NA	24	NA	NA	5229617	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
53449	NA	NA	NA	26.5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53451	NA	NA	NA	26.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56453	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66374	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66428	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66879	NA	NA	NA	26.5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66892	NA	NA	NA	27.5	NA	NA	9032226	71.82	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
66900	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66905	NA	NA	NA	46.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67275	NA	NA	NA	26.5	NA	NA	9303443.5	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67328	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67348	NA	NA	NA	27	NA	NA	11760649	69.7	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67349	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67363	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67369	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67370	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67380	NA	NA	NA	26.5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68183	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68239	NA	NA	NA	27	NA	NA	11016736.333	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68264	NA	NA	NA	27	28	NA	9179716	71.758	NA	NA	NA	1	NA	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
73044	NA	NA	NA	29	NA	NA	6383410	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
74312	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
74969	NA	NA	1.775683249026044	38.75	NA	NA	1826942	36.5	1763.5	1	45	0	0	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
76891	NA	NA	NA	30	30	NA	5411525	61.05	NA	NA	NA	0	NA	NA	NA	0	0	1	1	0	0	1	0	0	0	0	0
80852	NA	NA	NA	13.5	NA	NA	4613792.1	38.48	3981.333	7	89	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
83554	NA	NA	NA	NA	38	NA	1182666.649	38.171	1006.105	1	38	0	0	0	NA	NA	NA	NA	1	0	0	1	0	0	0	0	0
84980	NA	NA	1.444513206334043	9.3	8.5	7.55	3659633.2	46.61	3159	7	65	0	0	NA	NA	0	1	0	0	0	1	1	0	0	0	0	0
85693	NA	NA	NA	37	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
88382	NA	NA	NA	28	NA	NA	6110335.5	NA	NA	NA	NA	1	0	0	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
89772	-0.22184874961635637	0.17609125905568124	NA	30	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
92172	-0.22184874961635637	0.3010299956639812	NA	27	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
97481	NA	NA	NA	26	NA	NA	2191244	NA	NA	NA	NA	0	NA	0	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
100886	-0.3979400086720376	0.07918124604762482	NA	37	37	NA	2671313	36.817	NA	NA	NA	1	0	0	NA	0	1	0	1	0	0	1	0	0	0	0	0
113559	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113564	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
119000	NA	NA	NA	29	NA	NA	4138450	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
144786	NA	NA	NA	45	NA	NA	4974248	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
152500	NA	0.3010299956639812	NA	30	37	7	6353789.286	66.971	5624.5	5	67	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
157783	NA	NA	NA	30	27.5	NA	4784753.286	62.45	4125.667	6	73	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
161920	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
164330	NA	NA	NA	30	NA	NA	4280700	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
182270	0.0	0.17609125905568124	NA	27	NA	NA	4615647	66.7	NA	NA	NA	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0
194673	NA	NA	NA	27.5	28	NA	8454377	72.229	NA	NA	NA	1	NA	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
198616	NA	NA	NA	30	NA	NA	5868669	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
204936	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
209080	NA	NA	NA	34	37	6.8	4153026	NA	NA	NA	NA	0	1	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
219649	-0.1870866433571444	0.33243845991560533	NA	30	NA	2.8	9891340.5	NA	NA	NA	NA	0	1	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
236511	NA	NA	NA	29	27.75	8	7255438	69.608	NA	NA	NA	1	NA	0	NA	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
249408	0.0	0.0	NA	15	12.5	NA	4800021	NA	NA	NA	NA	1	NA	0	NA	0	0	1	NA	NA	NA	0	1	0	0	0	0
253160	NA	NA	NA	25	25	8.3	NA	NA	NA	NA	NA	1	0	1	NA	0	0	1	NA	NA	NA	0	1	0	0	0	0
266952	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
267135	-0.1549019599857432	0.2304489213782739	NA	29	21.227	7.5	NA	64.994	NA	NA	NA	0	0	0	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
279369	-0.12493873660829993	0.24303804868629442	NA	29	27.5	7.5	3068208	NA	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	0	0	0	1	0	0
284039	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
284042	NA	NA	NA	27	NA	NA	7651470	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
285279	-0.09691001300805639	0.07918124604762482	NA	25	NA	7	5845495	NA	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
285530	NA	NA	NA	26	32.5	NA	9313494	70.5	NA	NA	NA	1	1	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
285540	NA	NA	NA	NA	NA	NA	6457341	73.4	NA	NA	NA	1	1	0	NA	0	0	1	NA	NA	NA	0	1	0	0	0	0
285563	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
285568	NA	NA	NA	28	NA	NA	8409491	72.29	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA
290309	NA	NA	NA	28	NA	NA	3505986	68.6	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
292800	-0.3979400086720376	NA	NA	37	NA	NA	3961981.571	60.715	3565	2	55	1	1	1	NA	0	1	0	1	0	0	1	0	0	0	0	0
300029	NA	NA	NA	29	32	NA	7536144.5	67.92	NA	NA	NA	1	NA	0	NA	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
323423	-0.3467874862246563	0.05115252244738129	NA	28	32	NA	NA	NA	NA	NA	NA	0	1	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
328225	-0.3979400086720376	-0.3010299956639812	NA	30	36	NA	NA	NA	NA	NA	NA	0	0	0	NA	0	0	1	NA	NA	NA	0	0	0	1	0	0
328813	-0.6989700043360187	-0.3010299956639812	NA	37	37	7	3865145.5	57.8	NA	NA	NA	0	0	0	NA	0	1	0	NA	NA	NA	1	0	0	0	0	0
343517	-0.3010299956639812	0.47712125471966244	NA	29	37	7	4794373.333	51.61	NA	NA	NA	1	1	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
352869	NA	NA	NA	28	28	NA	7705417.5	68.36	NA	NA	NA	1	NA	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
370439	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
400772	-0.4559319556497244	-0.1549019599857432	NA	28	NA	NA	3044962.5	70.22	NA	NA	NA	1	NA	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
412861	-0.3010299956639812	0.3010299956639812	NA	31	27.5	7.75	5598676	58.066	NA	NA	NA	NA	1	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
418856	-0.3010299956639812	0.21085336531489318	NA	28	26.5	6.5	5780610	NA	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
425504	-0.3467874862246563	0.24303804868629442	NA	25	13	NA	4149587	NA	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
431269	NA	NA	NA	37	30	NA	6164339	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
433924	-0.3010299956639812	0.24303804868629442	NA	29	NA	NA	5571785.667	69	NA	NA	NA	0	NA	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
465820	NA	NA	NA	NA	NA	NA	3364484	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
480036	NA	NA	NA	33	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
487698	NA	NA	NA	28	28.5	8.5	4355941.5	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0
498199	NA	NA	NA	28	28	7	NA	NA	NA	NA	NA	1	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
558541	-0.12493873660829993	0.24303804868629442	NA	NA	29	8	4441258	NA	NA	NA	NA	0	0	1	NA	1	0	0	NA	NA	NA	1	0	0	0	0	0
590609	-0.3010299956639812	0.36172783601759284	NA	28	30	7	NA	NA	NA	NA	NA	NA	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
658456	-0.5228787452803376	-0.5228787452803376	NA	NA	30	NA	NA	NA	NA	NA	NA	1	0	0	NA	1	0	0	NA	NA	NA	0	0	0	1	0	0
675609	-0.3010299956639812	0.24303804868629442	NA	28	29	6.5	NA	NA	NA	NA	NA	0	NA	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
759851	-0.22184874961635637	0.17609125905568124	NA	35	25	8.35	3626092	NA	NA	NA	NA	1	1	1	NA	1	0	0	NA	NA	NA	1	0	0	0	0	0
1037355	-0.07058107428570727	0.290034611362518	NA	37	36	7.25	3915786	NA	NA	NA	NA	0	0	0	NA	0	1	0	NA	NA	NA	1	0	0	0	0	0
1122261	NA	NA	NA	28	NA	NA	4880542	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1129133	-0.1549019599857432	0.17609125905568124	NA	25	27.5	7.5	NA	NA	NA	NA	NA	NA	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1208365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1267021	-0.3010299956639812	0.24303804868629442	NA	35	37	7	2677823.5	34.11	2248	4	53	0	NA	NA	1	0	1	0	1	0	0	1	0	0	0	0	0
1678841	NA	NA	NA	NA	37	NA	4511322.5	46.738	NA	NA	NA	0	NA	0	NA	0	1	0	1	0	0	1	0	0	0	0	0
1848904	NA	NA	NA	NA	NA	NA	2831350	35.9	2442	3	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1908260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
68241	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66901	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44576	0.04139268515822507	0.17609125905568124	NA	NA	NA	NA	3211662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1627893	NA	NA	NA	NA	NA	NA	4247067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	0.3222192947339193	NA	NA	37	NA	NA	2406700.5	41.4	2286	NA	58	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
144	NA	NA	NA	30	NA	NA	1241874.75	29.3	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1
227	-0.1549019599857432	0.2787536009528289	NA	21	NA	NA	NA	NA	NA	NA	NA	0	NA	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
930	-0.3010299956639812	0.0	1.867113779831977	27.533	28	NA	3751820.667	52.95	NA	NA	NA	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0
931	-0.5228787452803376	-0.1549019599857432	1.1442627737619906	29.6	NA	NA	3201518	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1019	NA	NA	NA	37	37	NA	3006591.25	38.6	2614	4	46.333	0	0	1	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0
1458	NA	NA	NA	30	NA	NA	4407027	35.1	NA	NA	NA	NA	NA	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
1900	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1903	NA	NA	NA	27	NA	NA	10309773.5	71.86	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA
1943	NA	NA	NA	27	NA	NA	10218939.5	71.34	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA
1971	NA	NA	NA	27	NA	NA	9815883	71.477	8352	7	76	1	1	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
2036	NA	NA	NA	30	NA	NA	3431450	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
28117	NA	NA	NA	37	37	NA	2549878	53.3	NA	NA	NA	0	0	0	NA	0	1	0	1	0	0	1	0	0	0	0	0
28126	-0.3010299956639812	-0.09691001300805639	NA	37	NA	NA	3230258	50.9	NA	NA	NA	0	0	0	NA	0	1	0	1	0	0	1	0	0	0	0	0
29581	NA	NA	NA	27.333	20	6.8	5985800.833	NA	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
33887	NA	NA	NA	29	NA	NA	3222676	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
36820	NA	NA	NA	30.333	NA	NA	5092029	65.3	NA	NA	NA	1	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
38986	NA	NA	NA	30	30	NA	1554229.25	29	1427	2	35	0	0	0	NA	1	0	0	NA	NA	NA	0	1	0	0	0	0
47679	-0.3010299956639812	0.3010299956639812	NA	32	36	NA	4971384	NA	NA	NA	NA	0	1	1	NA	0	1	0	NA	NA	NA	0	0	0	0	1	0
48076	-0.3010299956639812	0.20411998265592482	NA	27	37	NA	3925261	NA	NA	NA	NA	0	NA	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
56192	NA	NA	NA	16.5	NA	NA	4325774.5	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
56464	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56810	0.0	NA	0.17897694729316943	14.7	NA	NA	3489017	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
56813	-0.3010299956639812	0.0	0.21484384804769785	16.95	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
58346	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67273	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
67274	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67285	NA	NA	NA	27	NA	NA	9837641.5	70.67	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA
67287	NA	NA	NA	26.5	NA	NA	10199200	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67300	NA	NA	NA	27	NA	NA	7420551	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67324	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67331	NA	NA	NA	27	NA	NA	5566908	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67342	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67376	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68173	NA	NA	NA	27	NA	NA	8027789.333	72	6701	6	65	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68261	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68895	-0.09691001300805639	0.07918124604762482	NA	28.5	30	7.3	8353260.286	65.022	7435.667	7	70	0	NA	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
75659	NA	NA	NA	29	NA	7.25	6272681	63.7	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82633	-0.09691001300805639	0.07918124604762482	NA	34	NA	NA	6817665	NA	NA	NA	NA	0	0	NA	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
83555	NA	NA	0.3010299956639812	37	37	NA	1143805.067	39.9	933.5	1	38	0	0	0	NA	NA	NA	NA	1	0	0	1	0	0	0	0	0
83558	NA	NA	0.3010299956639812	37	37	NA	1230852.472	40.166	1065.824	1	38	0	0	0	0	NA	NA	NA	1	0	0	1	0	0	0	0	0
